country,year,co2emissions
Afghanistan,2024,9938420.0
Afghanistan,2025,9043546.0
Afghanistan,2026,11317014.0
Afghanistan,2027,11671991.0
Afghanistan,2028,11533684.0
Afghanistan,2029,13444684.0
Afghanistan,2030,15773921.0
Albania,2021,4642726.5
Albania,2022,4639152.0
Albania,2023,4560150.0
Albania,2024,4693945.5
Albania,2025,4699484.5
Albania,2026,4542887.0
Albania,2027,4584562.0
Albania,2028,4657860.0
Albania,2029,4740842.0
Albania,2030,4669635.0
Algeria,2021,149007120.0
Algeria,2022,151704580.0
Algeria,2023,155831680.0
Algeria,2024,160828850.0
Algeria,2025,160446660.0
Algeria,2026,165482430.0
Algeria,2027,164527380.0
Algeria,2028,171262600.0
Algeria,2029,173548620.0
Algeria,2030,178436050.0
Angola,2021,30820432.0
Angola,2022,32405886.0
Angola,2023,39574464.0
Angola,2024,43241224.0
Angola,2025,39654880.0
Angola,2026,54292970.0
Angola,2027,51665660.0
Angola,2028,54321360.0
Angola,2029,56240830.0
Angola,2030,42130840.0
Argentina,2021,199690990.0
Argentina,2022,191383200.0
Argentina,2023,201159920.0
Argentina,2024,192692030.0
Argentina,2025,179307500.0
Argentina,2026,215476210.0
Argentina,2027,216383490.0
Argentina,2028,217229060.0
Argentina,2029,201128670.0
Argentina,2030,225896110.0
Austria,2021,64992864.0
Austria,2022,73550136.0
Austria,2023,63668710.0
Austria,2024,64687172.0
Austria,2025,69584790.0
Austria,2026,65750092.0
Austria,2027,72046990.0
Austria,2028,68901090.0
Austria,2029,73549540.0
Austria,2030,66273770.0
Bahrain,2021,31148666.0
Bahrain,2022,30840578.0
Bahrain,2023,26739390.0
Bahrain,2024,29423016.0
Bahrain,2025,35026930.0
Bahrain,2026,19291004.0
Bahrain,2027,34515250.0
Bahrain,2028,26998958.0
Bahrain,2029,29657664.0
Bahrain,2030,39013056.0
Bangladesh,2021,77150184.0
Bangladesh,2022,85589740.0
Bangladesh,2023,84277750.0
Bangladesh,2024,88956960.0
Bangladesh,2025,85453970.0
Bangladesh,2026,87511770.0
Bangladesh,2027,84138780.0
Bangladesh,2028,94403450.0
Bangladesh,2029,87497370.0
Bangladesh,2030,99614904.0
Barbados,2021,1454110.6
Barbados,2022,1226214.8
Barbados,2023,1459196.0
Barbados,2024,1332277.5
Barbados,2025,1255028.1
Barbados,2026,1100003.4
Barbados,2027,1308232.2
Barbados,2028,966897.25
Barbados,2029,1405012.4
Barbados,2030,1373042.1
Belgium,2021,100006330.0
Belgium,2022,112581920.0
Belgium,2023,108906700.0
Belgium,2024,97580520.0
Belgium,2025,75340020.0
Belgium,2026,104013576.0
Belgium,2027,88773460.0
Belgium,2028,89492130.0
Belgium,2029,92386264.0
Belgium,2030,100663260.0
Benin,2021,6007182.5
Benin,2022,3926130.8
Benin,2023,4212835.0
Benin,2024,4536701.5
Benin,2025,6951277.5
Benin,2026,6219434.5
Benin,2027,6577802.0
Benin,2028,7972487.0
Benin,2029,6674460.0
Benin,2030,7719903.5
Bolivia,2021,19596004.0
Bolivia,2022,18529158.0
Bolivia,2023,22950816.0
Bolivia,2024,16765028.0
Bolivia,2025,21539242.0
Bolivia,2026,26091282.0
Bolivia,2027,26359760.0
Bolivia,2028,26190706.0
Bolivia,2029,23373750.0
Bolivia,2030,27202598.0
Botswana,2021,5814278.0
Botswana,2022,7393381.5
Botswana,2023,6653508.5
Botswana,2024,7108743.0
Botswana,2025,8362237.5
Botswana,2026,6424595.5
Botswana,2027,8571454.0
Botswana,2028,7950914.5
